target,feature,mutual_information,rf_importance
AI-title,salary_mid_lpa,0.03462121873429391,0.2787139282040946
AI-title,expected_salary_max_lpa,0.03126043877614382,0.20070097884197832
AI-title,expected_salary_min_lpa,0.030516723004391344,0.16109452440886374
AI-title,skill_count,0.015090252153466599,0.08682260509348591
AI-title,saved_by_recruiters_30d,0.0255625733058914,0.058265402832811605
AI-title,search_appearance_30d,0.025881717545483962,0.04917623549276438
AI-title,days_since_last_active,0.007540059955254308,0.04436247076362207
AI-title,skill_assessment_count,0.014943077230660684,0.034962758194990715
AI-title,years_of_experience,0.009376560854224891,0.028624136309948763
AI-title,profile_completeness_score,0.011610834815729887,0.01722123327209476
AI-title,interview_completion_rate,0.005877205419980824,0.011418180379313837
AI-title,recruiter_response_rate,0.008452728801905729,0.008869359622662342
AI-title,github_activity_score,0.009652311093365396,0.008062587804313464
AI-title,salary_range_lpa,0.005085755954764681,0.0038112138347214395
AI-title,consistency_reason_count,0.01034125353500992,0.0027237526232220047
AI-title,consistency_suspicion_score_10,0.009715623256554062,0.002543493419252819
AI-title,career_role_count,0.007647659071497448,0.0015041430424264338
AI-title,offer_acceptance_rate,0.015624197452095423,0.0006116584292813863
AI-title,is_consulting,0.02249734181124119,0.00031912706784480204
AI-title,is_random_bucket,0.00045597860478974184,0.00015471701434749654
AI-title,education_count,0.014457230918229702,3.69606067344712e-05
AI-title,is_high_experience,0.0004195765734034129,5.327412244888098e-07
JD alignment,skill_count,0.09153758270332579,0.30587796197621636
JD alignment,search_appearance_30d,0.05470677318232631,0.13507282220418956
JD alignment,saved_by_recruiters_30d,0.04895472764735387,0.11926458017918522
JD alignment,expected_salary_max_lpa,0.05417685983211573,0.0959926113787541
JD alignment,expected_salary_min_lpa,0.04528555055679728,0.0708558021014551
JD alignment,career_role_count,0.013853689482925313,0.06429621140396956
JD alignment,salary_mid_lpa,0.05014829818291022,0.062019679876487106
JD alignment,years_of_experience,0.00994782944474526,0.037953869048367526
JD alignment,skill_assessment_count,0.034754168477547864,0.03580736344520316
JD alignment,interview_completion_rate,0.021360475883543284,0.01854382354638255
JD alignment,github_activity_score,0.01673383582793475,0.017750084885426752
JD alignment,recruiter_response_rate,0.01280508620355092,0.008438328851880608
JD alignment,consistency_reason_count,0.006381708942650777,0.007432805593818786
JD alignment,consistency_suspicion_score_10,0.003967141633089533,0.00704582077888563
JD alignment,profile_completeness_score,0.008708035071369302,0.0028224946274676755
JD alignment,is_consulting,0.012737511410969127,0.0027312926243543492
JD alignment,days_since_last_active,0.0076130984213733655,0.00195607367193457
JD alignment,is_random_bucket,0.0012981546683676903,0.0018426386247877193
JD alignment,salary_range_lpa,0.006619637858248817,0.001588127140082436
JD alignment,is_high_experience,0.0,0.001429096002101428
JD alignment,offer_acceptance_rate,0.014448613955663658,0.0012687877899470827
JD alignment,education_count,0.009514879636739249,9.724249102740673e-06
Suspicion proxy,skill_count,0.04129153206741276,0.39323783821417363
Suspicion proxy,consistency_reason_count,0.013257376532130882,0.2602166361566741
Suspicion proxy,consistency_suspicion_score_10,0.013873500627034518,0.22651319202149053
Suspicion proxy,is_random_bucket,0.00012894373437466466,0.015008335874990767
Suspicion proxy,salary_mid_lpa,0.0009880666437762642,0.013793009925810226
Suspicion proxy,search_appearance_30d,0.0007412641207088511,0.01293571411866468
Suspicion proxy,saved_by_recruiters_30d,0.0021932720120734217,0.011277454395714134
Suspicion proxy,expected_salary_max_lpa,0.0008154775394589864,0.011209625816933872
Suspicion proxy,years_of_experience,0.0,0.010207161883725186
Suspicion proxy,expected_salary_min_lpa,0.0006545587414565901,0.009558131362187743
Suspicion proxy,is_high_experience,0.000235261324084024,0.00632561263097335
Suspicion proxy,github_activity_score,0.000655717143386747,0.004641681137352105
Suspicion proxy,recruiter_response_rate,0.00018610764441095995,0.004177621362900725
Suspicion proxy,profile_completeness_score,0.00014634036783001125,0.0041713998325131115
Suspicion proxy,days_since_last_active,0.0003473306093307871,0.0037138298141639026
Suspicion proxy,interview_completion_rate,0.00027819899381753554,0.0031608923893955143
Suspicion proxy,career_role_count,0.003216676839187582,0.003065113270044587
Suspicion proxy,salary_range_lpa,9.824599202812312e-05,0.0022203682795862863
Suspicion proxy,skill_assessment_count,0.0016864604825130858,0.002187550577391299
Suspicion proxy,offer_acceptance_rate,0.010622338536152909,0.001242135000661458
Suspicion proxy,is_consulting,0.020911804950296653,0.000815948193976992
Suspicion proxy,education_count,0.015076861782620243,0.00032074774067579264
